,Stars,Text,stopwords,punctuation,numerics,upper,word_count,char_count,avg_word,polarity,subjectivity
0,1, spray really look forward however bottle sprayvaporize tiny water droplet come,9,6,0,1,12,79,6.2,0.1,0.35
1,3, smell bad smell bad like suffer be bottle look old bang feel like paid much wash face morning rather cotton pad wipe hydrate tone rise water etc clean face pre morning skin care sunscreen gentle irritate eye anything rather go back rise water scent alone irritate eye either purchase,25,17,0,5,50,284,4.8,-0.07619047619047614,0.46190476190476193
2,1, look terrible bottle spy dirty deny scratch dusty think spy sainte sad can not return inflammable,14,6,0,0,17,98,5.1,-0.625,0.85
3,5, good good help sensitive skin,2,1,0,0,6,30,5.0,0.5,0.7000000000000001
4,5, super hydration love super hydration great value,2,2,0,1,8,49,6.0,0.49166666666666664,0.6708333333333333
5,5, refresh bought specifically wet skin layer sincere absolutely love spray evenly distribute feel refresh face would definitely purchase,14,4,0,2,19,135,6.5,0.225,0.5
6,5,,0,0,0,0,1,0,0.0,0.0,0.0
7,5, love prayer wonderful spray pump hydroponic acid serum,2,0,0,0,9,55,5.9,0.75,0.8
8,5, refresh refresh great way fresh face day,6,4,0,0,8,41,4.9,0.55,0.625
9,5, good good,0,0,0,0,3,10,4.0,0.7,0.6000000000000001
10,5, super hydrate love,0,2,0,0,4,19,5.3,0.41666666666666663,0.6333333333333333
11,1, jury mmm sure think haven brought yet order facial mist set make see youtuber recommend shock arriveddirty deny scratch dusty look like ordeal ll haven time return still sit bathroom shelf courage,33,13,0,4,33,197,5.2,0.033333333333333326,0.4962962962962963
12,1, never buy receive today terrible,3,3,0,0,6,33,5.6,-1.0,1.0
13,5, must dry skin must dry skin love spring face feel dry recommend cover hair clothes spray face wet spray,13,7,0,2,20,104,4.5,0.04000000000000001,0.5599999999999999
14,1, broken come defeat seller,2,1,0,0,5,26,5.5,-0.4,0.4
15,1, might sell use firstly where bottle cap next thing wonder bottle sell old use first time order bottle light likely half amount try tell might weird inner feel hold new bottle know right new one much heavier full bottle cap please explain,32,17,0,6,43,238,4.7,0.1029839208410637,0.43534322820037097
16,1, buy impressed would purchase,1,4,0,1,5,29,6.2,1.0,1.0
17,4, good good people hydrate skin instantly mainly water content good type skin,9,1,0,0,13,76,5.3,0.5666666666666667,0.5333333333333334
18,2, look use come without cap bottle look use ll cap,4,1,0,0,11,49,3.9,0.0,0.0
19,2, smell initial smell chemically originally bought spray apply hyaluronic acid initial smell resistant regularly skin moisturize knew meant moisture purchase reason,30,9,0,1,22,163,6.8,0.09375,0.20673076923076922
20,5, love feel feel good skin,4,3,0,0,6,25,4.0,0.6,0.6000000000000001
21,1, damage aerosol spray arrive defective go bottle would like replacement refund,7,4,0,2,12,78,6.1,0.0,0.0
22,5, yes must dry skin saw couture buy,7,4,0,1,8,34,3.9,-0.06666666666666665,0.6
23,1, dusty bottle arrive look like sit shelf year gathering dust make wonder use,12,2,0,0,14,76,4.8,-0.4,0.6
24,2, strange smell always use avenue spring water spray decide try bioderma debut get strange smell wont buy,10,5,0,1,18,104,5.1,-0.05,0.15
25,1, really get another new one look old dirty,4,1,0,1,9,42,4.2,-0.040909090909090895,0.41363636363636364
26,1, great spray feel like clot pore,5,2,0,0,7,32,4.3,0.8,0.75
27,5, nice addition skin care skin feel dry slightly irritated pretty much calm sensation feel even amaze summer cool effect recently give small bottle hobby post workout skin get red easily like lot,23,6,0,2,33,194,5.1,0.145,0.5650000000000001
28,1, one least half empty screw label suspect face suspect face one item food scale weigh one label look like photo copy stuck crooked line next didn part cut one didn even weigh one give use month yet still weigh extremely disappointed selleramazon try unload four photo phone can tell unloaded,39,13,1,3,51,291,4.8,-0.21944444444444444,0.3194444444444445
29,4, super cool honestly really think spray much feel nice cool apply honestly lot whenever hot rep skin give little pick think much skin enjoy,29,11,0,6,25,139,4.8,0.2996212121212121,0.5742424242424243
30,5, love really like stuff say pack bottle bit dingy what inside matter feel like really hydrate skin put make sometimes make even in wear make buy stuff wont regret,24,8,0,4,30,162,4.6,0.3,0.3333333333333333
31,5, purposeful facial mist amaze amaze facial mist hydration refresh feel set make quality spray blithely benefit micro fine good skin quality value,10,3,0,0,23,145,5.6,0.2791666666666667,0.275
32,5, well much expensive use love mist mist paid triple actually like one well,10,0,0,4,14,74,4.7,0.0,0.4666666666666666
