title,stars,comment
"







  
    Gut für gestresste Haut (Rosacea)
  
  
",5.0 out of 5 stars,"









  
    
  Ich nutze es mittlerweile fast ausschließlich als Wasserersatz fürs Gesicht. Aufsprühen, kurz einwirken lassen und trocken tupfen.

  
  
"
"







  
    Refresca
  
  
",5.0 out of 5 stars,"









  
    
  Apenas estoy empezando a usar el agua termal. Refresca la piel. Espero me siga funcionando.

  
  
"
"







  
    Exelente
  
  
",5.0 out of 5 stars,"









  
    
  Siempre la mejor línea en cuidado!!

  
  
"
"







  
  
    The nozzle is not easy to press, sometimes it can spray water and sometimes it’s difficult
  
",1.0 out of 5 stars,"









  
  
    
  The nozzle is not easy to press, sometimes it can spray water and sometimes it’s difficult

  
"
"







  
    Pelle rinata…ottimo!
  
  
",5.0 out of 5 stars,"









  
    
  Scoperto per caso dopo una settimana di utilizzo mattino e sera (vaporizzato sul viso) incredibile la grana della pelle è davvero cambiata!!! Avevo i pori dilatati e la pelle tendente al grasso ora sembra un velluto…! Stavolta sono contenta di aver ceduto ed essermi fatta influenzare (cosa che di solito cerco di evitare) 😊

  
  
"
"







  
  
    Make skin feel smooth and soft
  
",5.0 out of 5 stars,"









  
  
    
  Feels great 🤭

  
"
"







  
    Buon prodotto
  
  
",5.0 out of 5 stars,"









  
    
  Il prodotto è adatto x rinfrescare la pelle l'ho trovato buono ,

  
  
"
"







  
  
    Broken as it came.
  
",1.0 out of 5 stars,"









  
  
    
  My item came with a broken spray. It can’t be used without the spray thingy and unable to return. What can I do?

  
"
"







  
    Excelente
  
  
",4.0 out of 5 stars,"









  
    
  Excelente para el cuidado de la piel de mi pequeña hija. Le encanta cuando se la pongo

  
  
"
"







  
  
    Great Product
  
",5.0 out of 5 stars,"









  
  
    
  I love this stuff. Especially on a hot day, it just cools your face instantly. I mainly use this because I use Hyaluronic acid in the mornings after I wash my face and you cannot (should not) put Hyaluronic acid onto dry skin. I wait a minute or two after spraying it on my face and then apply. I don't pat my face dry after 2-3 minutes like it says. Besides, if I waited that long, it would have dried on my face already. Again, super product.

  
"
"







  
  
    Excelente
  
",5.0 out of 5 stars,"









  
  
    
  Excelente producto

  
"
"







  
  
    Love it
  
",5.0 out of 5 stars,"


















    
        

        
        

        
            
            
                
                        
                
                
                    The media could not be loaded.
                
            
                
            
        
    
    










  
  
    
   Very good price for the size. Cannot wait to use it

  
"
"







  
    Freschezza mattutina
  
  
",5.0 out of 5 stars,"









  
    
  Ho l’abitudine di radermi ogni mattina e questo prodotto è entrato sin da subito nella mia daily routine. La sensazione di fresco che rilascia sulla pelle (come nel mio caso post rasatura) è ineguagliabile. Una piccola nebulizzazione di prodotto è necessaria ad alleviare le irritazioni viso; ottima anche dopo una lunga esposizione al sole.

  
  
"
"







  
    Llegó con un pedacito de la tapa
  
  
",2.0 out of 5 stars,"









  
    
  Me llego sin tapa el producto así que no se que pensar, aparentemente se ve que es original...

  
  
"
"







  
  
    It’s good stuff - try it, you’ll enjoy the experience
  
",5.0 out of 5 stars,"









  
  
    
  Some will say it’s just expensive water - I say it feels great, refreshes, cools, soothes, & is a great addition to my beauty routine. Especially in the summer, a much appreciated fresh burst of moisture.

  
"
"







  
  
    feeling
  
",5.0 out of 5 stars,"









  
  
    
  feels super soothing just don’t spray to much a little goes a long way

  
"
"







  
    Muy bueno
  
  
",5.0 out of 5 stars,"









  
    
  Muy bueno da una sensación de relax e hidratación

  
  
"
"







  
    Acqua termale
  
  
",5.0 out of 5 stars,"









  
    
  Ottimo prodotto, lo uso non solo d'estate, ma tutto l'anno.

  
  
"
"







  
    Non ha senso produrre una cosa del genere
  
  
",1.0 out of 5 stars,"









  
    
  Niente di che per un po' di acqua di Lourdes a prezzi strozzinaggio

  
  
"
"







  
  
    Damaged&Dirty
  
",1.0 out of 5 stars,"









  
  
    
  Arrived damaged and dirty. Also the lid is missing. Very disappointed :(

  
"
"







  
  
    Amazing !! Fresh and nice !
  
",5.0 out of 5 stars,"









  
  
    
  Amazing !! I do recommend for people with the oily skin, leaves my face so soft and nice. You can use it as a toner, very happy.

  
"
"







  
  
    love it
  
",5.0 out of 5 stars,"









  
  
    
  best thermal water i used

  
"
"







  
  
    No security seal
  
",1.0 out of 5 stars,"









  
  
    
  Came without a seal wrapped around the cap, so I don’t know how safe and genuine this product is.

  
"
"







  
  
    Good.
  
",5.0 out of 5 stars,"









  
  
    
  Very useful and gentle with baby skin. For us is very good.

  
"
"







  
  
    Perfect
  
",5.0 out of 5 stars,"









  
  
    
  Good product

  
"
"







  
  
    Five Stars
  
",5.0 out of 5 stars,"









  
  
    
  The best thermal water.

  
"
"







  
  
    Buyer Beware
  
",1.0 out of 5 stars,"









  
  
    
  The thermal spring water spray does not work, the spray button is defective, they do not except returns. This is important. This is an expensive item and if you don’t get lucky and get a good spray button you’re out of luck.

  
"
"







  
    Súper gentil en el rostro y da una sensación de frescura e hidratación muy buena 👌🏽
  
  
",5.0 out of 5 stars,
"







  
  
    I will not order again！！！
  
",1.0 out of 5 stars,"









  
  
    
  Both lids are smashed and the nozzle keeps coming out of water, but there is no problem with the box, it is obviously a broken product sent, It's disgusting that the platform doesn't give returns.

  
"
"







  
    bien
  
  
",5.0 out of 5 stars,"









  
    
  es buena, si eres hombre y sufres después de rasurarte te hará un parote con eso

  
  
"
"







  
  
    a little dry for me
  
",2.0 out of 5 stars,"









  
  
    
  a little bit dry for me

  
"
"







  
    Ottimo!
  
  
",5.0 out of 5 stars,"









  
    
  Ottimo prodotto!

  
  
"
"







  
  
    Good
  
",5.0 out of 5 stars,"









  
  
    
  Love this product. Really helpful!

  
"
"







  
    Roche Posay una garanzia
  
  
",5.0 out of 5 stars,"









  
    
  Questa marca di prodotti per il corpo ecc la trovo molto valida e conveniente .... questa acqua termale è ottima!!!

  
  
"
"







  
    Es la mejor agua de avena
  
  
",5.0 out of 5 stars,"









  
    
  Va genial para lo que es.

  
  
"
"







  
    vino mal empaquetado (sólo con un sobre y agujereado) y me llegó con el tapón totalmente roto….
  
  
",5.0 out of 5 stars,"









  
    
  El producto es excelente! Pero vino muy mal empaquetado. Sólo con un sobre dañado y el tapón del producto totalmente partido y roto….

  
  
"
"







  
    Muy buenos
  
  
",5.0 out of 5 stars,"









  
    
  Son originales

  
  
"
"







  
    Excelente producto.
  
  
",5.0 out of 5 stars,"









  
    
  Buen producto como siempre, se ajusta a lo que prometen y nunca me defrauda, volveré a comprar seguro.

  
  
"
"







  
  
    NOT 10.1 oz
  
",1.0 out of 5 stars,"









  
  
    
  used about 1/4 of the spray can and the nozzle is now clogged.  I  have tried every thing to open it up but the best I can get is a small stream of droplets.

  
"
"







  
    Sensación refrescante y de hidratación
  
  
",5.0 out of 5 stars,"









  
    
  Excelente, el producto cumple con la expectativa a precio justo.

  
  
"
"







  
  
    Wouldn’t be without this.
  
",5.0 out of 5 stars,"









  
  
    
  I have tried many thermal waters, this is by far my favourite. I spray my face and body before moisturising. In very warm weather, it goes to bed with me, for a middle of the night spritz, if I wake feeling too hot. I buy the large, much more economical and last for ages.

  
"
"







  
  
    Good
  
",5.0 out of 5 stars,"









  
  
    
  refreshing

  
"
